,Year,Month,Day,Sentiment,Count
435,2020,6,14,positive,273345
436,2020,6,15,negative,1619914
437,2020,6,15,neutral,1328774
438,2020,6,15,positive,274508
439,2020,6,16,negative,1437913
440,2020,6,16,neutral,1437420
441,2020,6,16,positive,257735
442,2020,6,17,negative,1443361
443,2020,6,17,neutral,1421201
444,2020,6,17,positive,253791
445,2020,6,18,negative,1312861
446,2020,6,18,neutral,1395896
447,2020,6,18,positive,317809
448,2020,6,19,negative,1220364
449,2020,6,19,neutral,1556689
450,2020,6,19,positive,312573
451,2020,6,20,negative,1246485
452,2020,6,20,neutral,1432476
453,2020,6,20,positive,286907
454,2020,6,21,negative,1460745
455,2020,6,21,neutral,1160605
456,2020,6,21,positive,260257
457,2020,6,22,negative,1444967
458,2020,6,22,neutral,1360929
459,2020,6,22,positive,284394
460,2020,6,23,negative,1580404
461,2020,6,23,neutral,1522507
462,2020,6,23,positive,292901
463,2020,6,24,negative,1501190
464,2020,6,24,neutral,1630577
465,2020,6,24,positive,267041
466,2020,6,25,negative,1716072
467,2020,6,25,neutral,1559078
468,2020,6,25,positive,288254
469,2020,6,26,negative,1858199
470,2020,6,26,neutral,1601400
471,2020,6,26,positive,320788
472,2020,6,27,negative,1628246
473,2020,6,27,neutral,1499337
474,2020,6,27,positive,309405
475,2020,6,28,negative,1628051
476,2020,6,28,neutral,1487961
477,2020,6,28,positive,285082
478,2020,6,29,negative,1635983
479,2020,6,29,neutral,1544968
480,2020,6,29,positive,278691
481,2020,6,30,negative,1842600
482,2020,6,30,neutral,1618341
483,2020,6,30,positive,291377
484,2020,7,1,negative,1799952
485,2020,7,1,neutral,1572422
486,2020,7,1,positive,380382
487,2020,7,2,negative,1697218
488,2020,7,2,neutral,1583988
489,2020,7,2,positive,323262
490,2020,7,3,negative,1682233
491,2020,7,3,neutral,1569324
492,2020,7,3,positive,381075
493,2020,7,4,negative,1636422
494,2020,7,4,neutral,1416034
495,2020,7,4,positive,404988
496,2020,7,5,negative,1653266
497,2020,7,5,neutral,1428911
498,2020,7,5,positive,308958
499,2020,7,6,negative,1808494
500,2020,7,6,neutral,1624526
501,2020,7,6,positive,284400
502,2020,7,7,negative,1618622
503,2020,7,7,neutral,1642469
504,2020,7,7,positive,260154
505,2020,7,8,negative,1641766
506,2020,7,8,neutral,1691603
507,2020,7,8,positive,289676
508,2020,7,9,negative,1555942
509,2020,7,9,neutral,1611279
510,2020,7,9,positive,283799
511,2020,7,10,negative,1612422
512,2020,7,10,neutral,1362093
513,2020,7,10,positive,289704
514,2020,7,11,negative,1470493
515,2020,7,11,neutral,1328274
516,2020,7,11,positive,316961
517,2020,7,12,negative,1285886
518,2020,7,12,neutral,1241469
519,2020,7,12,positive,317844
520,2020,7,13,negative,1841312
521,2020,7,13,neutral,1764618
522,2020,7,13,positive,385187
523,2020,7,14,negative,1742244
524,2020,7,14,neutral,1691137
525,2020,7,14,positive,287513
526,2020,7,15,negative,1996229
527,2020,7,15,neutral,1697182
528,2020,7,15,positive,290065
529,2020,7,16,negative,1977195
530,2020,7,16,neutral,1650048
531,2020,7,16,positive,244262
532,2020,7,17,negative,1923943
533,2020,7,17,neutral,1649018
534,2020,7,17,positive,263648
535,2020,7,18,negative,1621635
536,2020,7,18,neutral,1529013
537,2020,7,18,positive,305081
538,2020,7,19,negative,1682374
539,2020,7,19,neutral,1475774
540,2020,7,19,positive,324834
541,2020,7,20,negative,1530898
542,2020,7,20,neutral,1420748
543,2020,7,20,positive,288230
544,2020,7,21,negative,1555751
545,2020,7,21,neutral,1519707
546,2020,7,21,positive,313095
547,2020,7,22,negative,1484759
548,2020,7,22,neutral,1572444
549,2020,7,22,positive,327083
550,2020,7,23,negative,1490028
551,2020,7,23,neutral,1450689
552,2020,7,23,positive,314388
553,2020,7,24,negative,1418079
554,2020,7,24,neutral,1411837
555,2020,7,24,positive,290388
556,2020,7,25,negative,1404785
557,2020,7,25,neutral,1475931
558,2020,7,25,positive,258984
559,2020,7,26,negative,1417240
560,2020,7,26,neutral,1307287
561,2020,7,26,positive,245698
562,2020,7,27,negative,1460828
563,2020,7,27,neutral,1535958
564,2020,7,27,positive,308827
565,2020,7,28,negative,1705072
566,2020,7,28,neutral,1713376
567,2020,7,28,positive,277755
568,2020,7,29,negative,1536426
569,2020,7,29,neutral,1711198
570,2020,7,29,positive,330152
571,2020,7,30,negative,1695378
572,2020,7,30,neutral,1585219
573,2020,7,30,positive,296939
574,2020,7,31,negative,1552115
575,2020,7,31,neutral,1590447
576,2020,7,31,positive,311090
577,2020,8,1,negative,1366555
578,2020,8,1,neutral,1365094
579,2020,8,1,positive,305727
580,2020,8,2,negative,1485374
581,2020,8,2,neutral,1485085
582,2020,8,2,positive,275067
583,2020,8,3,negative,1434976
584,2020,8,3,neutral,1385445
585,2020,8,3,positive,272010
586,2020,8,4,negative,1614891
587,2020,8,4,neutral,1462115
588,2020,8,4,positive,279321
589,2020,8,5,negative,1309972
590,2020,8,5,neutral,1323542
591,2020,8,5,positive,253278
592,2020,8,6,negative,1476609
593,2020,8,6,neutral,1368328
594,2020,8,6,positive,243074
595,2020,8,7,negative,1425240
596,2020,8,7,neutral,1401477
597,2020,8,7,positive,270831
598,2020,8,8,negative,1352948
599,2020,8,8,neutral,1134827
600,2020,8,8,positive,279584
601,2020,8,9,negative,1526275
602,2020,8,9,neutral,1298335
603,2020,8,9,positive,251729
604,2020,8,10,negative,1605333
605,2020,8,10,neutral,1495852
606,2020,8,10,positive,331673
607,2020,8,11,negative,1476775
608,2020,8,11,neutral,1501225
609,2020,8,11,positive,324918
610,2020,8,12,negative,1225377
611,2020,8,12,neutral,1217303
612,2020,8,12,positive,262741
613,2020,8,13,negative,1333123
614,2020,8,13,neutral,1367758
615,2020,8,13,positive,269495
616,2020,8,14,negative,1310455
617,2020,8,14,neutral,1370960
618,2020,8,14,positive,250359
619,2020,8,15,negative,1209551
620,2020,8,15,neutral,1171076
621,2020,8,15,positive,322091
622,2020,8,16,negative,1247316
623,2020,8,16,neutral,1119212
624,2020,8,16,positive,234664
625,2020,8,17,negative,1225195
626,2020,8,17,neutral,1283598
627,2020,8,17,positive,251370
628,2020,8,18,negative,1340607
629,2020,8,18,neutral,1295826
630,2020,8,18,positive,311691
631,2020,8,19,negative,1278795
632,2020,8,19,neutral,1256350
633,2020,8,19,positive,327667
634,2020,8,20,negative,1356324
635,2020,8,20,neutral,1294276
636,2020,8,20,positive,282167
637,2020,8,21,negative,1460191
638,2020,8,21,neutral,1460487
639,2020,8,21,positive,280557
640,2020,8,22,negative,1423859
641,2020,8,22,neutral,1332624
642,2020,8,22,positive,260225
643,2020,8,23,negative,1634650
644,2020,8,23,neutral,1459908
645,2020,8,23,positive,281826
646,2020,8,24,negative,1483546
647,2020,8,24,neutral,1440385
648,2020,8,24,positive,292210
649,2020,8,25,negative,1497680
650,2020,8,25,neutral,1481534
651,2020,8,25,positive,315643
652,2020,8,26,negative,1525185
653,2020,8,26,neutral,1518376
654,2020,8,26,positive,236324
655,2020,8,27,negative,1520186
656,2020,8,27,neutral,1443471
657,2020,8,27,positive,247058
658,2020,8,28,negative,1599860
659,2020,8,28,neutral,1443447
660,2020,8,28,positive,265473
661,2020,8,29,negative,1266156
662,2020,8,29,neutral,1131199
663,2020,8,29,positive,260191
664,2020,8,30,negative,1370695
665,2020,8,30,neutral,1206342
666,2020,8,30,positive,282363
667,2020,8,31,negative,1501691
668,2020,8,31,neutral,1295163
669,2020,8,31,positive,243374
670,2020,9,1,negative,1504731
671,2020,9,1,neutral,1223184
672,2020,9,1,positive,297808
673,2020,9,2,negative,1483224
674,2020,9,2,neutral,1302241
675,2020,9,2,positive,280002
676,2020,9,3,negative,1544659
677,2020,9,3,neutral,1312686
678,2020,9,3,positive,316243
679,2020,9,4,negative,1279959
680,2020,9,4,neutral,1229972
681,2020,9,4,positive,281473
682,2020,9,5,negative,1123496
683,2020,9,5,neutral,1066470
684,2020,9,5,positive,265576
685,2020,9,6,negative,1029485
686,2020,9,6,neutral,1092215
687,2020,9,6,positive,254259
688,2020,9,7,negative,1258941
689,2020,9,7,neutral,1175954
690,2020,9,7,positive,275278
691,2020,9,8,negative,1353445
692,2020,9,8,neutral,1239137
693,2020,9,8,positive,265235
694,2020,9,9,negative,1855480
695,2020,9,9,neutral,1456469
696,2020,9,9,positive,257531
697,2020,9,10,negative,2119398
698,2020,9,10,neutral,1556042
699,2020,9,10,positive,260183
700,2020,9,11,negative,1574281
